pktTotalSize,pktMeanSize,pktVarSize,pktMinSize,serviceType,windowTotal,windowMean,windowVar,windowMin,windowMax,numberOfRstFlag,numberOfPshFlag,numberOfKeepAlive,numberOfSyncFlood,LABEL
5487,685.875,374.5,40,17062,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
6195,774.375,423.5,40,17063,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
6264,783.0,359.0,40,17064,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6417,802.125,340.0,40,17065,11254,1406.75,1941.5,424,8190,0,1,0,0,Amazon
5110,638.75,363.75,40,17067,26932,3366.5,6719.0,7,26883,0,4,0,0,Amazon
6573,821.625,340.0,40,17068,11254,1406.75,1941.5,424,8190,0,1,0,0,Amazon
6088,761.0,363.0,40,17070,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6079,759.875,363.0,40,17071,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
5103,637.875,371.75,40,17072,28438,3554.75,6666.0,219,26883,0,2,0,0,Amazon
5154,644.25,384.75,40,17073,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
